date,total_value,benchmark_value,share_equity_us,share_equity_pl,share_equity_thematic,share_equity_em,share_equity_single,share_crypto,benchmark_nasdaq_value
2026-09-04T01:32:24,1410996.555866302,28788.32037785207,0.573303,0.149413,0.103801,0.079931,0.009646,0.083905,
2026-09-04T01:45:28,1410996.5558663018,28788.32037785207,0.573303,0.149413,0.103801,0.079931,0.009646,0.083905,
2026-09-04T09:13:53,1411641.2065815558,28787.546401889995,0.573056,0.149345,0.103758,0.079897,0.010075,0.08387,109545.10020516811
2026-09-04T14:04:02,1370078.5198417336,28756.94202542305,0.596598,0.15489,0.109201,0.082106,0.010331,0.046874,109428.6415309906
